date,bet,bet_nature,match,statistics_name,statistic_role,statistic_number,coeff,kush,wdl
19.05.2022,3000,ord,Челси-Лестер,SoT,F2,2.5,2.23,0.28,l
19.05.2022,3000,ord,Утрехт-Витесе,YC,TU,4,1.75,0.22,l
21.05.2022,3000,ord,Аталанта-Эмполи,Goal,TU,2.5,3.7,0.35,w
21.05.2022,3000,ord,Аталанта-Эмполи,SoT,TU2,5.5,2.62,0.33,l
21.05.2022,3000,ord,Аталанта-Эмполи,SoT,F2,2.5,2.32,0.3,l
21.05.2022,3000,ord,ПСЖ-Мец,Goal,TU,1.5,8,0.5,l
21.05.2022,3000,ord,ПСЖ-Мец,Corner,F2,3.5,2.03,0.32,w
21.05.2022,3000,ord,ПСЖ-Мец,Out,TO,34.5,2.47,0.42,l
21.05.2022,3000,ord,Реймс-Ница,Goal,TU,2,3.5,0.31,l
21.05.2022,3000,ord,Реймс-Ница,Foul,TO1,9.5,2.64,0.36,l
21.05.2022,3000,ord,Реймс-Ница,Foul,TO1,10.5,2.77,0.38,l
21.05.2022,3000,ord,Ружомбирок-Середь,Corner,TU1,5.5,2.75,0.54,w
21.05.2022,3000,ord,Ружомбирок-Середь,Corner,TU1,6.5,1.94,0.36,w
21.05.2022,3000,ord,Ружомбирок-Середь,Corner,F2,1.5,3.15,0.89,w
21.05.2022,3000,ord,Ружомбирок-Середь,Corner,F2,2.5,2.37,0.56,w
21.05.2022,3000,ord,Ружомбирок-Середь,Corner,F2,3.5,1.87,0.3,w
21.05.2022,3000,ord,Братислава-Жилина,Corner,TO2,4.5,3.1,0.53,l
21.05.2022,3000,ord,Братислава-Жилина,Corner,F2,1.5,3.06,0.49,l
21.05.2022,3000,ord,Братислава-Жилина,Corner,F2,2.5,2.33,0.44,l
21.05.2022,3000,ord,Жирона-Мирандес,Corner,F2,2.5,1.85,0.29,w
21.05.2022,3000,ord,Жирона-Мирандес,Corner,F2,1.5,2.37,0.51,w
21.05.2022,3000,ord,Альмерия-Алькорн,Corner,F2,1.5,3.2,0.63,l
21.05.2022,3000,ord,Альмерия-Алькорн,Corner,F2,2.5,2.35,0.31,l
21.05.2022,3000,ord,Юнайтед-Торонто,Corner,TU1,5.5,2.2,0.37,l
21.05.2022,3000,ord,Юнайтед-Торонто,Corner,F2,1.5,2.27,0.41,l
21.05.2022,3000,ord,Марсель-Страсбург,Shots,TU1,11.5,2.62,0.41,l
21.05.2022,3000,ord,ПСЖ-Мец,Goal,TU,4,1.98,0.3,l
22.05.2022,3000,ord,Арсенал-Эвертон,Goal kicks,F1,2.5,2.33,0.51,l
22.05.2022,3000,ord,Челси-Уотфорд,Corner,TO2,3.5,3.1,0.55,l
22.05.2022,3000,ord,Челси-Уотфорд,Goal kicks,TU2,9.5,2.2,0.46,w
22.05.2022,3000,ord,Ливерпуль-Вульвергемптон,Corner,TO2,2.5,2.17,0.3,w
22.05.2022,3000,ord,Ливерпуль-Вульвергемптон,Corner,F2,4.5,2.75,0.75,w
22.05.2022,3000,ord,Гранада-Эспаньол,Corner,F2,1.5,2.32,0.39,l
22.05.2022,3000,ord,Интер-Сампдория,Goal,TU,4,1.75,0.3,w
22.05.2022,3000,ord,Интер-Сампдория,Corner,F2,3.5,2.85,0.53,l
22.05.2022,3000,ord,Интер-Сампдория,SoT,F2,4.5,2.32,0.55,l
22.05.2022,3000,ord,Интер-Сампдория,Shots,F2,14.5,1.65,0.4,l
22.05.2022,3000,ord,Копенгаген-Ольборг,Corner,F2,1.5,2.3,0.38,l
22.05.2022,3000,ord,Жилина – Тренич,Corner,TO2,5.5,2.77,0.3,w
